datetime,low,high,open,close,volumefrom,volumeto
2018-11-27,99.0,111.22,106.82,108.47,93266.16,9760143.8
2018-11-28,108.47,125.57,108.47,121.81,130815.99,15186828.78
2018-11-29,113.05,123.21,121.81,116.46,76052.18,8993146.89
2018-11-30,108.83,119.08,116.46,111.9,58500.83,6625678.56
2018-12-01,109.99,119.74,111.9,116.8,35465.73,4071998.6
2018-12-02,113.95,119.35,116.8,114.91,29589.07,3429422.36
2018-12-03,104.36,115.65,114.91,107.28,56880.04,6216848.02
2018-12-04,104.16,112.18,107.28,108.8,37740.21,4109004.34
2018-12-05,100.21,109.12,108.8,100.67,97484.85,10168979.03
2018-12-06,88.86,103.01,100.67,89.16,137644.28,13474890.4
2018-12-07,81.19,109.43,89.16,92.5,237675.43,20804425.36
2018-12-08,83.7,97.51,92.5,90.07,105438.37,9487885.38
2018-12-09,88.09,98.41,90.07,92.63,73663.44,6818981.68
2018-12-10,87.32,94.6,92.63,89.27,53990.16,4860115.68
2018-12-11,85.0,91.02,89.27,86.9,50282.86,4402897.58
2018-12-12,86.0,91.01,86.9,89.09,41368.2,3677003.52
2018-12-13,83.7,90.24,89.09,85.31,51053.08,4456171.82
2018-12-14,80.9,85.91,85.31,82.91,74615.34,6244096.09
2018-12-15,80.99,84.15,82.91,83.08,18287.27,1511809.9
